graph_name,pli_vertex,pli_density,pli_TRD_number,best_fitness_value,gap_relative(%),mean_fitness_value,std_fitness_value,pli_status
Tina_AskCal.txt,11,0.45455,4.0,7,75.0,6.3,0.9486832980505135,OPTIMAL
Tina_AskCog.txt,11,0.49091,4.0,5,25.0,4.8,0.4216370213557838,OPTIMAL
GD01_b.txt,18,0.16993,12.0,14,16.666666666666664,13.1,0.7378647873726218,OPTIMAL
LFAT5.txt,14,0.17582,12.0,12,0.0,12.0,0.0,OPTIMAL
Tina_DisCal.txt,11,0.58182,4.0,6,50.0,5.1,0.8755950357709132,OPTIMAL
Tina_DisCog.txt,11,0.65455,4.0,6,50.0,4.5,0.8498365855987974,OPTIMAL
Stranke94.txt,10,1.0,3.0,3,0.0,3.0,0.0,OPTIMAL
GD98_a.txt,38,0.06543,18.0,18,0.0,18.0,0.0,OPTIMAL
LF10.txt,18,0.20915,11.0,11,0.0,11.0,0.0,OPTIMAL
Ragusa18.txt,23,0.20158,10.0,10,0.0,10.0,0.0,OPTIMAL
GD95_a.txt,36,0.08889,24.0,27,12.5,25.5,1.1785113019775797,OPTIMAL
GD02_a.txt,23,0.2332,4.0,6,50.0,5.3,0.9486832980505138,OPTIMAL
Ragusa16.txt,24,0.21014,12.0,12,0.0,12.0,0.0,OPTIMAL
Trefethen_20b.txt,19,0.37427,7.0,9,28.57142857142857,8.5,0.5270462766947299,OPTIMAL
Hamrle1.txt,32,0.18145,12.0,17,41.66666666666667,14.4,1.5055453054181616,OPTIMAL
GD95_b.txt,70,0.03934,30.0,30,0.0,30.0,0.0,OPTIMAL
GlossGT.txt,67,0.05337,33.0,36,9.090909090909092,34.5,0.7071067811865478,OPTIMAL
GD99_c.txt,105,0.02198,78.0,81,3.8461538461538463,80.1,0.3162277660168395,OPTIMAL
Sandi_authors.txt,86,0.03393,42.0,43,2.380952380952381,42.5,0.5270462766947294,OPTIMAL
GD96_c.txt,65,0.0601,37.0,40,8.108108108108109,39.3,0.4830458915396477,OPTIMAL
GD99_b.txt,64,0.062,32.0,41,28.125,37.1,1.9692073983655904,OPTIMAL
GD97_b.txt,46,0.12754,13.0,13,0.0,13.0,0.0,OPTIMAL
GD98_b.txt,121,0.01818,87.0,87,0.0,87.0,0.0,OPTIMAL
GD01_c.txt,33,0.25568,11.0,12,9.090909090909092,11.7,0.4830458915396483,OPTIMAL
GD95_c.txt,62,0.07615,23.0,26,13.043478260869565,24.0,1.1547005383792524,OPTIMAL
GD97_a.txt,84,0.04762,46.0,51,10.869565217391305,50.2,0.9189365834726824,BEST FOUND
GD98_c.txt,112,0.02703,79.0,84,6.329113924050633,82.9,0.9944289260117548,BEST FOUND
GD06_theory.txt,101,0.03762,20.0,20,0.0,20.0,0.0,OPTIMAL
GD96_b.txt,111,0.03161,34.0,34,0.0,34.0,0.0,OPTIMAL
GD96_d.txt,180,0.01415,114.0,114,0.0,114.0,0.0,OPTIMAL
GD02_b.txt,80,0.07342,31.0,35,12.903225806451612,33.3,1.4944341180973262,OPTIMAL
GD00_a.txt,352,0.00622,242.0,243,0.4132231404958678,242.3,0.4830458915396479,OPTIMAL
GD97_c.txt,452,0.00451,82.0,83,1.2195121951219512,82.1,0.3162277660168389,OPTIMAL
08blocks.txt,300,0.01284,24.0,24,0.0,24.0,0.0,OPTIMAL
CAG_mat72.txt,72,0.26526,10.0,11,10.0,11.0,0.0,OPTIMAL
S10PI_n.txt,682,0.00297,642.0,649,1.0903426791277258,647.8,1.2292725943057443,BEST FOUND
SmallW.txt,233,0.03678,18.0,20,11.11111111111111,19.6,0.8432740427115679,OPTIMAL
GD00_c.txt,638,0.00502,361.0,374,3.601108033240997,371.9,1.370320319406307,OPTIMAL
494_bus.txt,494,0.00481,349.0,370,6.017191977077363,367.7,1.76698110409315,OPTIMAL
Trefethen_150.txt,150,0.08456,34.0,42,23.52941176470588,39.6,1.264911064067351,BEST FOUND
Erdos971.txt,433,0.01405,212.0,225,6.132075471698113,220.9,1.7288403306519915,OPTIMAL
Erdos981.txt,445,0.01398,214.0,227,6.074766355140187,225.3,1.418136492412178,OPTIMAL
Erdos991.txt,454,0.01378,221.0,234,5.88235294117647,231.6,1.074967699773144,OPTIMAL
Trefethen_200b.txt,199,0.06786,44.0,54,22.727272727272727,51.8,1.5491933384829668,BEST FOUND
Trefethen_200.txt,200,0.06759,44.0,55,25.0,53.3,0.948683298050514,BEST FOUND
662_bus.txt,662,0.00414,423.0,456,7.801418439716312,451.7,2.110818693198349,OPTIMAL
G11.txt,800,0.00501,420.0,486,15.714285714285714,475.2,7.130529043797838,BEST FOUND
GD96_a.txt,1096,0.00279,687.0,797,16.011644832605533,789.0,4.784233364802438,BEST FOUND
M20PI_n.txt,1182,0.00172,1228.0,1159,-5.618892508143322,1156.9,1.3703203194062712,BEST FOUND
CSphd.txt,1882,0.00098,1127.0,1155,2.484472049689441,1151.8,1.5491933384829557,OPTIMAL
Chebyshev1.txt,261,0.04545,3.0,3,0.0,3.0,0.0,OPTIMAL
L.txt,956,0.00399,601.0,613,1.9966722129783692,604.5,4.859126579037758,BEST FOUND
685_bus.txt,685,0.00547,364.0,412,13.186813186813188,403.9,5.021066730398145,BEST FOUND
Harvard500.txt,500,0.01638,61.0,64,4.918032786885246,64.0,0.0,OPTIMAL
USAir97.txt,332,0.03869,73.0,73,0.0,73.0,0.0,OPTIMAL
Trefethen_300.txt,300,0.04881,64.0,75,17.1875,72.2,1.7511900715418276,BEST FOUND
1138_bus.txt,1138,0.00225,778.0,816,4.884318766066838,814.6,1.8378731669453616,OPTIMAL
EX1.txt,560,0.02791,123.0,146,18.69918699186992,142.0,2.4494897427831765,BEST FOUND
EX2.txt,560,0.02791,122.0,144,18.0327868852459,139.4,2.412928142780513,BEST FOUND
DK01R.txt,903,0.01385,269.0,278,3.3457249070631967,264.6,5.1033757890679,BEST FOUND
