graph_name,mean_fitness_value,std_fitness_value,best_fitness_value,graph_order,graph_size,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density,is_dense,pli_vertex,pli_edge,pli_density,pli_TRD_number,pli_time_miliseconds,pli_status,gap_relative(%)
can___73.txt,33.1,0.3162277660168374,34,73,152,826863,no,none,yes,0.0578387,False,73,152,0.05784,32.0,2443.0,OPTIMAL,6.25
tub100.txt,68.6,0.9660917830792948,70,100,148,4584064,no,none,yes,0.029899,False,100,148,0.0299,68.0,304122.0,BEST FOUND,2.941176470588235
bcspwr03.txt,74.4,0.5163977794943178,75,118,179,4025772,no,none,yes,0.0259308,False,118,179,0.02593,69.0,1046.0,OPTIMAL,8.695652173913043
olm100.txt,50.1,0.316227766016839,51,100,197,3037486,no,none,yes,0.039798,False,100,197,0.0398,50.0,188917.0,OPTIMAL,2.0
impcol_b.txt,22.2,0.7888106377466155,23,59,281,2093458,no,none,yes,0.164231,False,59,281,0.16423,18.0,205.0,OPTIMAL,27.77777777777778
ash85.txt,36.6,0.966091783079296,38,85,219,2832300,no,none,yes,0.0613445,False,85,219,0.06134,35.0,6643.0,OPTIMAL,8.571428571428571
can___61.txt,12.9,1.1972189997378648,15,61,248,2060117,no,none,yes,0.135519,False,61,248,0.13552,12.0,23.0,OPTIMAL,25.0
dwt___87.txt,39.9,0.3162277660168383,40,87,227,2601173,no,none,yes,0.060679,False,87,227,0.06068,38.0,1268.0,OPTIMAL,5.263157894736842
nos4.txt,48.2,1.2292725943057183,50,100,247,3162995,no,none,yes,0.049899,False,100,247,0.0499,44.0,3196.0,OPTIMAL,13.636363636363635
rw136.txt,62.9,1.2866839377079151,64,136,373,4407150,no,none,yes,0.0406318,False,136,373,0.04063,59.0,302975.0,BEST FOUND,8.47457627118644
bcsstk03.txt,56.0,0.0,56,112,264,3445428,no,none,yes,0.042471,False,112,264,0.04247,56.0,305099.0,BEST FOUND,0.0
gre__115.txt,62.8,1.7511900715418267,65,115,267,1390947,no,none,yes,0.0407323,False,115,267,0.04073,54.0,86432.0,OPTIMAL,20.37037037037037
impcol_c.txt,56.9,1.1972189997378642,60,137,352,4461549,no,none,yes,0.0377845,False,137,352,0.03778,52.0,2742.0,OPTIMAL,15.384615384615385
can___96.txt,33.3,0.6749485577105535,34,96,336,3757311,no,none,yes,0.0736842,False,96,336,0.07368,32.0,226893.0,OPTIMAL,6.25
steam3.txt,20.4,0.5163977794943225,21,80,424,2310968,no,none,yes,0.134177,False,80,424,0.13418,20.0,27355.0,OPTIMAL,5.0
