filename,vertex,edge,density,TRD_number,time(miliseconds),is_feasible,is_connected,number_of_components,status
olm500.txt,500,997,0.00799,253.0,301527.00,True,True,0,BEST FOUND
orsirr_1.txt,1030,2914,0.00550,466.0,300937.00,True,True,0,BEST FOUND
pde225.txt,225,420,0.01667,132.0,301626.00,True,True,0,BEST FOUND
plat362.txt,362,2712,0.04151,63.0,301118.00,True,True,0,BEST FOUND
pores_1.txt,30,103,0.23678,10.0,49.00,True,True,0,OPTIMAL
pores_2.txt,1224,5822,0.00778,271.0,301235.00,True,True,0,BEST FOUND
pores_3.txt,532,1850,0.01310,238.0,301429.00,True,False,2,BEST FOUND
psmigr_1.txt,3140,410781,0.08335,28.0,190349.00,True,True,0,OPTIMAL
qc324.txt,324,13203,0.25232,8.0,1606.00,True,True,0,OPTIMAL
qh768.txt,768,1322,0.00449,428.0,4262.00,True,True,0,OPTIMAL
rbs480a.txt,480,16408,0.14273,16.0,23249.00,True,True,0,OPTIMAL
rbs480b.txt,480,16400,0.14266,16.0,29288.00,True,True,0,OPTIMAL
rdb200.txt,200,460,0.02312,101.0,301434.00,True,True,0,BEST FOUND
rdb200l.txt,200,460,0.02312,101.0,301485.00,True,True,0,BEST FOUND
rdb450.txt,450,1065,0.01054,238.0,300475.00,True,True,0,BEST FOUND
rgg010.txt,10,45,1.00000,3.0,14.00,True,True,0,OPTIMAL
rw136.txt,136,373,0.04063,59.0,302975.00,True,True,0,BEST FOUND
rw496.txt,496,1423,0.01159,235.0,300612.00,True,True,0,BEST FOUND
saylr1.txt,238,445,0.01578,144.0,301604.00,True,True,0,BEST FOUND
shl__400.txt,663,1709,0.00779,197.0,1622.00,True,True,0,OPTIMAL
shl____0.txt,663,1682,0.00766,207.0,2793.00,True,True,0,OPTIMAL
steam1.txt,240,1761,0.06140,39.0,301909.00,True,True,0,BEST FOUND
steam2.txt,600,6580,0.03662,77.0,301273.00,True,True,0,BEST FOUND
steam3.txt,80,424,0.13418,20.0,27355.00,True,True,0,OPTIMAL
str__200.txt,363,3049,0.04641,98.0,41794.00,True,True,0,OPTIMAL
str__400.txt,363,3124,0.04755,98.0,74429.00,True,True,0,OPTIMAL
str____0.txt,363,2446,0.03723,115.0,25597.00,True,True,0,OPTIMAL
tols340.txt,340,1649,0.02861,153.0,297.00,True,False,51,OPTIMAL
tols90.txt,90,1449,0.36180,3.0,100.00,True,True,0,OPTIMAL
tub100.txt,100,148,0.02990,68.0,304122.00,True,True,0,BEST FOUND
utm300.txt,300,2191,0.04885,67.0,1451.00,True,True,0,OPTIMAL
watt__1.txt,1856,4816,0.00280,968.0,303106.00,True,True,0,BEST FOUND
will199.txt,199,660,0.03350,70.0,301218.00,True,True,0,BEST FOUND
will57.txt,57,127,0.07957,23.0,93.00,True,True,0,OPTIMAL
young1c.txt,841,1624,0.00460,496.0,300895.00,True,True,0,BEST FOUND
young2c.txt,841,1624,0.00460,496.0,300498.00,True,True,0,BEST FOUND
young3c.txt,841,1671,0.00473,493.0,300569.00,True,True,0,BEST FOUND
