graph_name,mean_fitness_value,std_fitness_value,best_fitness_value,graph_order,graph_size,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density,is_dense
Tina_AskCal.txt,6.3,0.9486832980505138,7,11,25,48000,no,none,yes,0.454545,False
Tina_AskCog.txt,4.4,0.5163977794943222,5,11,27,52096,no,none,yes,0.490909,False
GD01_b.txt,13.4,0.6992058987801011,14,18,26,89831,no,none,yes,0.169935,False
LFAT5.txt,12.0,0.0,12,14,16,93726,no,none,yes,0.175824,False
Tina_DisCal.txt,5.3,0.4830458915396479,6,11,32,54909,no,none,yes,0.581818,True
Tina_DisCog.txt,4.4,0.5163977794943223,5,11,36,49626,no,none,yes,0.654545,True
Stranke94.txt,3.0,0.0,3,10,45,46706,no,none,yes,1.0,True
GD98_a.txt,18.0,0.0,18,38,46,182449,no,none,yes,0.0654339,False
LF10.txt,11.0,0.0,11,18,32,91950,no,none,yes,0.20915,False
Ragusa18.txt,10.0,0.0,10,23,51,98214,no,none,yes,0.201581,False
GD95_a.txt,26.3,0.9486832980505138,28,36,56,188206,no,none,yes,0.0888889,False
GD02_a.txt,5.0,1.0540925533894598,6,23,59,92216,no,none,yes,0.233202,False
Ragusa16.txt,12.0,0.0,12,24,58,92257,no,none,yes,0.210145,False
Trefethen_20b.txt,8.1,0.316227766016838,9,19,64,87873,no,none,yes,0.374269,False
Hamrle1.txt,15.0,1.3333333333333333,18,32,90,158585,no,none,yes,0.181452,False
GD95_b.txt,30.0,0.0,30,70,95,269679,no,none,yes,0.0393375,False
GlossGT.txt,34.9,0.5676462121975455,36,67,118,269524,no,none,yes,0.0533695,False
GD99_c.txt,80.0,0.0,80,105,120,465816,no,none,yes,0.021978,False
Sandi_authors.txt,43.0,0.4714045207910321,44,86,124,356599,no,none,yes,0.0339261,False
GD96_c.txt,38.8,0.6324555320336753,40,65,125,266668,no,none,yes,0.0600962,False
GD99_b.txt,36.1,1.4491376746189446,38,64,125,280636,no,none,yes,0.062004,False
GD97_b.txt,13.0,0.0,13,46,132,189682,no,none,yes,0.127536,False
GD98_b.txt,87.0,0.0,87,121,132,489583,no,none,yes,0.0181818,False
GD01_c.txt,11.9,0.316227766016838,12,33,135,137105,no,none,yes,0.255682,False
GD95_c.txt,24.8,2.043961295567452,30,62,144,280406,no,none,yes,0.0761502,False
GD97_a.txt,50.0,1.2472191289246486,52,84,166,376482,no,none,yes,0.047619,False
GD98_c.txt,81.9,1.370320319406297,85,112,168,518586,no,none,yes,0.027027,False
GD06_theory.txt,20.0,0.0,20,101,190,392830,no,none,yes,0.0376238,False
GD96_b.txt,34.1,0.3162277660168381,35,111,193,457062,no,none,yes,0.0316134,False
GD96_d.txt,114.0,0.0,114,180,228,753130,no,none,yes,0.0141527,False
GD02_b.txt,32.6,1.577621275493231,35,80,232,321995,no,none,yes,0.0734177,False
GD00_a.txt,242.0,0.0,242,352,384,1722800,no,none,yes,0.00621601,False
GD97_c.txt,82.0,0.0,82,452,460,1919531,no,none,yes,0.00451308,False
08blocks.txt,24.0,0.0,24,300,576,1274824,yes,h2,yes,0.0128428,False
CAG_mat72.txt,11.0,0.0,11,72,678,306611,no,none,yes,0.265258,False
S10PI_n.txt,648.2,1.7511900715418345,652,682,689,8074649,no,none,yes,0.002967,False
SmallW.txt,19.6,0.8432740427115678,20,233,994,985577,no,none,yes,0.0367767,False
GD00_c.txt,370.9,0.875595035770908,372,638,1020,4332285,no,none,yes,0.00501961,False
494_bus.txt,367.4,1.7126976771553462,370,494,586,3269089,no,none,yes,0.00481231,False
Trefethen_150.txt,40.5,1.581138830084189,43,150,945,625055,no,none,yes,0.0845638,False
Erdos971.txt,221.0,1.632993161855452,224,433,1314,2273601,no,none,yes,0.0140493,False
Erdos981.txt,226.9,1.2866839377079178,229,445,1381,2497363,no,none,yes,0.0139791,False
Erdos991.txt,231.2,1.8135294011647236,234,454,1417,2517553,no,none,yes,0.0137799,False
Trefethen_200b.txt,52.2,1.0327955589886442,53,199,1337,1251029,no,none,yes,0.0678646,False
Trefethen_200.txt,52.7,1.418136492412176,55,200,1345,843822,no,none,yes,0.0675879,False
662_bus.txt,451.4,2.458545188611439,456,662,906,6551241,no,none,yes,0.00414094,False
G11.txt,476.7,5.578729445153456,485,800,1600,8720437,no,none,yes,0.00500626,False
GD96_a.txt,789.7,6.832113712298547,806,1096,1677,16755393,no,none,yes,0.00279472,False
M20PI_n.txt,1156.7,0.9486832980505095,1158,1182,1198,18019052,no,none,yes,0.0017164,False
CSphd.txt,1152.4,2.63312235441751,1156,1882,1740,42433857,no,none,yes,0.000983039,False
Chebyshev1.txt,3.0,0.0,3,261,1542,1055507,no,none,yes,0.0454465,False
L.txt,603.0,3.829708431025359,608,956,1820,13472039,no,none,yes,0.00398694,False
685_bus.txt,400.5,3.171049598406738,404,685,1282,7794480,no,none,yes,0.00547232,False
Harvard500.txt,64.0,0.0,64,500,2043,2648303,no,none,yes,0.0163768,False
USAir97.txt,73.0,0.0,73,332,2126,1631651,no,none,yes,0.0386925,False
Trefethen_300.txt,72.3,2.0027758514399734,75,300,2189,1501773,no,none,yes,0.0488071,False
1138_bus.txt,814.0,1.3333333333333768,816,1138,1458,18560085,no,none,yes,0.00225364,False
EX1.txt,140.8,2.7406406388125983,143,560,4368,4499584,no,none,yes,0.027907,False
EX2.txt,139.2,2.6583202716502545,142,560,4368,5006951,no,none,yes,0.027907,False
DK01R.txt,266.0,2.5819888974716183,270,903,5641,10927722,no,none,yes,0.0138513,False
CAG_mat364.txt,16.7,0.4830458915396479,17,364,10474,2179865,no,none,yes,0.158538,False
G10.txt,84.5,1.779513042005218,88,800,19176,8223301,no,none,yes,0.06,False
G1.txt,86.5,2.068278940998476,89,800,19176,7750434,no,none,yes,0.06,False
jgl009.txt,3.0,0.0,3,9,32,49822,no,none,yes,0.888889,True
rgg010.txt,3.0,0.0,3,10,45,47577,no,none,yes,1.0,True
jgl011.txt,3.0,0.0,3,11,49,48705,no,none,yes,0.890909,True
bcspwr01.txt,30.2,0.42163702135578374,31,39,46,185103,no,none,yes,0.0620783,False
can___24.txt,9.9,0.9944289260117531,12,24,68,91989,no,none,yes,0.246377,False
bcspwr02.txt,34.4,0.6992058987801003,36,49,59,222865,no,none,yes,0.0501701,False
ibm32.txt,16.5,0.9718253158075499,17,32,90,136975,no,none,yes,0.181452,False
pores_1.txt,10.1,0.31622776601683794,11,30,103,134122,no,none,yes,0.236782,False
can___62.txt,46.7,0.9486832980505138,49,62,78,264027,no,none,yes,0.041248,False
dwt___72.txt,64.6,0.6992058987800972,65,72,75,307914,no,none,yes,0.0293427,False
fidap005.txt,7.0,0.0,7,27,126,134178,no,none,yes,0.358974,False
dwt___59.txt,36.3,0.6749485577105532,37,59,104,416624,no,none,yes,0.0607832,False
curtis54.txt,23.3,0.4830458915396479,24,54,124,226032,no,none,yes,0.0866527,False
will57.txt,23.0,0.0,23,57,127,253427,no,none,yes,0.0795739,False
dwt___66.txt,39.3,0.6749485577105536,40,66,127,299601,no,none,yes,0.0592075,False
bcsstk01.txt,18.2,0.6324555320336755,19,48,176,180086,no,none,yes,0.156028,False
can___73.txt,32.8,0.42163702135578407,33,73,152,320969,no,none,yes,0.0578387,False
tub100.txt,68.6,0.6992058987801022,70,100,148,558545,no,none,yes,0.029899,False
bcspwr03.txt,74.2,0.6324555320336749,75,118,179,508220,no,none,yes,0.0259308,False
olm100.txt,50.1,0.3162277660168383,51,100,197,398703,no,none,yes,0.039798,False
impcol_b.txt,22.0,0.6666666666666666,23,59,281,267643,no,none,yes,0.164231,False
ash85.txt,37.3,0.9486832980505138,39,85,219,369989,no,none,yes,0.0613445,False
can___61.txt,13.6,2.0110804171997807,17,61,248,271992,no,none,yes,0.135519,False
dwt___87.txt,39.8,0.42163702135578335,40,87,227,350353,no,none,yes,0.060679,False
nos4.txt,48.8,1.0327955589886442,50,100,247,428851,no,none,yes,0.049899,False
rw136.txt,63.0,0.9428090415820638,64,136,373,594848,no,none,yes,0.0406318,False
bcsstk03.txt,56.0,0.0,56,112,264,449260,no,none,yes,0.042471,False
gre__115.txt,62.9,1.9692073983655907,65,115,267,507664,no,none,yes,0.0407323,False
impcol_c.txt,57.9,1.7919573407620821,61,137,352,597835,no,none,yes,0.0377845,False
can___96.txt,33.3,0.9486832980505129,35,96,336,619176,no,none,yes,0.0736842,False
steam3.txt,20.3,0.483045891539648,21,80,424,310768,no,none,yes,0.134177,False
dwt__234.txt,151.9,1.100504934614617,154,234,300,1056948,no,none,yes,0.0110047,False
ck104.txt,32.3,0.9486832980505135,34,104,444,398871,no,none,yes,0.0828977,False
nos1.txt,159.6,1.3498971154211044,163,237,390,1028944,no,none,yes,0.0139455,False
pde225.txt,134.7,2.359378449224853,138,225,420,1360968,no,none,yes,0.0166667,False
rdb200l.txt,104.0,1.8257418583505542,107,200,460,1182625,no,none,yes,0.0231156,False
rdb200.txt,104.3,1.3374935098492577,106,200,460,1072499,no,none,yes,0.0231156,False
dwt__162.txt,65.2,0.9189365834726808,67,162,510,717017,no,none,yes,0.0391074,False
will199.txt,79.5,1.7159383568311675,83,199,660,1254317,no,none,yes,0.0335008,False
saylr1.txt,142.4,2.0110804171997803,145,238,445,1492531,no,none,yes,0.0157785,False
can__144.txt,34.0,0.9428090415820637,36,144,576,703622,no,none,yes,0.0559441,False
lop163.txt,56.2,1.8135294011647234,59,163,598,688987,no,none,yes,0.0452927,False
